[Wed May 20 06:45:42 AM EDT 2026] GPU monitor started. Waiting for 4 free GPUs...
[Wed May 20 09:40:07 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:42:07 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:44:08 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:46:08 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:48:08 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:50:08 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:52:09 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:54:09 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:56:09 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:58:09 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:00:10 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:02:10 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:04:10 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:06:10 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:08:11 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:10:11 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:12:11 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:14:11 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:16:12 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:18:12 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:20:12 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:22:12 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:24:13 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:26:13 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:28:13 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:30:14 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:32:14 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:34:14 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:36:14 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:38:15 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:40:15 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:42:15 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:44:15 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:46:16 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:48:16 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:50:16 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:52:16 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:54:17 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:56:17 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 10:58:17 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:00:17 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:02:18 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:04:18 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:06:18 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:08:19 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:10:19 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:12:19 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:14:19 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:16:20 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:18:20 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:20:20 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:22:20 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:24:21 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:26:21 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:28:21 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:30:21 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:32:22 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:34:22 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:36:22 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:38:23 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:40:23 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:42:23 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:44:23 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:46:24 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:48:24 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:50:24 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:52:24 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:54:25 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:56:25 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 11:58:25 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:00:25 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:02:26 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:04:26 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:06:26 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:08:27 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:10:27 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:12:27 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:14:27 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:16:28 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:18:28 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:20:28 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:22:28 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:24:29 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:26:29 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:28:29 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:30:29 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:32:30 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:34:30 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:36:30 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:38:31 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:40:31 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:42:31 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:44:31 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:46:32 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:48:32 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:50:32 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:52:32 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:54:33 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:56:33 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 12:58:33 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:00:33 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:02:34 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:04:34 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:06:34 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:08:34 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:10:35 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:12:35 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:14:35 PM EDT 2026] Free GPUs (< 2000MiB used): [6] — 1/8 free
[Wed May 20 01:16:35 PM EDT 2026] Free GPUs (< 2000MiB used): [6] — 1/8 free
[Wed May 20 01:18:36 PM EDT 2026] Free GPUs (< 2000MiB used): [6] — 1/8 free
[Wed May 20 01:20:36 PM EDT 2026] Free GPUs (< 2000MiB used): [6] — 1/8 free
[Wed May 20 01:22:36 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:24:37 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:26:37 PM EDT 2026] Free GPUs (< 2000MiB used): [2 3 7] — 3/8 free
[Wed May 20 01:28:37 PM EDT 2026] Free GPUs (< 2000MiB used): [2 3 7] — 3/8 free
[Wed May 20 01:30:37 PM EDT 2026] Free GPUs (< 2000MiB used): [2 3 7] — 3/8 free
[Wed May 20 01:32:38 PM EDT 2026] Free GPUs (< 2000MiB used): [2 3] — 2/8 free
[Wed May 20 01:34:38 PM EDT 2026] Free GPUs (< 2000MiB used): [2 3] — 2/8 free
[Wed May 20 01:36:38 PM EDT 2026] Free GPUs (< 2000MiB used): [2 3] — 2/8 free
[Wed May 20 01:38:38 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:40:39 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:42:39 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:44:39 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:46:39 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:48:40 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:50:40 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:52:40 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:54:40 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:56:41 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 01:58:41 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:00:41 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:02:41 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:04:42 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:06:42 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:08:42 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:10:42 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:12:43 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:14:43 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:16:43 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:18:43 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:20:44 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:22:44 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:24:44 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:26:44 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:28:45 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:30:45 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:32:45 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:34:45 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:36:46 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:38:46 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:40:46 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:42:46 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:44:47 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:46:47 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:48:47 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:50:47 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:52:48 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:54:48 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:56:48 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 02:58:48 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:00:49 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:02:49 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:04:49 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:06:49 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:08:50 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:10:50 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:12:50 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:14:51 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:16:51 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:18:51 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:20:51 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:22:52 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:24:52 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:26:52 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:28:52 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:30:53 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:32:53 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:34:53 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:36:53 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:38:54 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:40:54 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:42:54 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:44:54 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:46:55 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:48:55 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:50:55 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:52:55 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:54:56 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:56:56 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 03:58:56 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 04:00:56 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 04:02:57 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 04:04:57 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 04:06:57 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 04:08:57 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 04:10:58 PM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
